algorithm,nmi_full,nmi_super,nmi_sub,ari_full,ari_super,ari_sub,purity_full,purity_super,purity_sub,sil,ch,db,num_clusters,noise_frac,cluster_size_mean,cluster_size_std,cluster_size_entropy,pca
kmeans_minilm_k6,0.4837111384240711,0.4673354031178155,0.5138077197447566,0.24580660607951824,0.3449492219214699,0.3481800127813737,0.28515334819059746,0.6306908627825534,0.44921999363260107,0.036561280488967896,412.9447937011719,4.764080467982576,6,0.0,3141.0,900.1342492465591,1.7503436143828581,236
kmeans_minilm_k12,0.5960189998333895,0.5117232663801541,0.58369147503181,0.4049409461871987,0.3255023144296666,0.40613377796615713,0.5280165552371856,0.7633980685556617,0.5976865117266263,0.03889427334070206,288.4598083496094,4.2305238898927415,12,0.0,1570.5,545.6441911477967,2.4216514002854597,236
kmeans_minilm_k20,0.6104460537911176,0.4737459694499068,0.5933864063057731,0.461507327435156,0.21981281529434832,0.41176512445336066,0.634033747214263,0.7877003077576143,0.6968587498673459,0.03980047628283501,211.21885681152344,4.112706648297705,20,0.0,942.3,277.0242047186491,2.9544168707331284,236
hdbscan_minilm_mcs10,0.03381470700357639,0.02067027708171614,0.03502138636763333,0.006453600154505629,0.004979557451718949,0.01826856949255588,0.08097208956807811,0.2855247797941208,0.15504616364215218,0.0055118706077337265,9.503790855407715,1.9861629453504808,3,0.24487955003714315,4743.666666666667,6688.7591940176435,0.01554352782817553,236
hdbscan_minilm_mcs20,0.05114249538713154,0.02784503260765034,0.05302019163551596,0.01587827071217193,0.016673121655214545,0.028404380418212676,0.08909052318794439,0.2777777777777778,0.1546747320386289,0.03439537435770035,20.870838165283203,1.8568800825164309,2,0.4002971452828186,5651.0,5623.0,0.017340306171968252,236
hdbscan_minilm_mcs40,0.0723421433169484,0.033262119307560734,0.07442977784373456,0.021397841573251954,0.029411190440332042,0.02249918320804607,0.09200891435848456,0.2849941632176589,0.1553645335880293,0.02591758780181408,36.99227523803711,1.9931483560168182,2,0.6038947256712299,3732.5,3677.5,0.043520763862417614,236
hdbscan_minilm_mcs60,0.16048242044467592,0.1644211133996644,0.16885848315653326,0.014406540813660764,0.03560143672739814,0.005989081259730995,0.11769075665923803,0.36968056882096995,0.2065690332165977,0.09957154095172882,247.5264434814453,2.8348374862292154,3,0.8194842406876791,1134.0,704.3422463547107,0.9093477058862143,236
hdbscan_minilm_mcs100,0.13340724520816008,0.13413569887593724,0.14067736608999523,0.009825219450558205,0.024890926014474676,0.001107037117065177,0.10628250026530829,0.3502069404648201,0.18943011779688,0.10982605069875717,199.453857421875,2.5620732186842274,3,0.8620396901199193,866.6666666666666,607.1025906348576,0.8323170259448989,236
dbscan_minilm_eps0p6,0.02039873018453851,0.018902780473193853,0.018649292932514338,1.0785019382326904e-05,-0.00030381664439280294,-0.000826490320525302,0.0630903109413138,0.26833280271675686,0.14666242173405497,0.49964842200279236,49.245811462402344,0.7901744319761885,16,0.9894937917860553,12.375,2.666341125962693,2.7511564060880476,236
dbscan_minilm_eps0p7,0.09805441723571844,0.08657479695671808,0.08851436764151788,0.0007450230018545619,0.0016710555151802375,-0.0039888401093012005,0.10734373341823199,0.30988008065371964,0.17536877852064098,0.29318922758102417,45.67094802856445,1.2710431297833598,42,0.9437015812373979,25.261904761904763,24.571624676220026,3.4252729588364392,236
dbscan_minilm_eps0p8,0.2972797485245532,0.24317550553479936,0.2749245594215148,0.01233362411701584,0.02332933416511257,-0.00028000609549705727,0.25989599915101347,0.44715058898439985,0.3058473946726096,0.13501448929309845,31.586551666259766,1.6949804438287044,123,0.7632388835827231,36.27642276422764,80.91763360265666,3.861857582192216,236
dbscan_minilm_eps0p9,0.23475468841216265,0.18756773115434403,0.24584385892314353,0.043269303859601885,0.06303107300613739,0.07100660946682277,0.18539743181576993,0.39079910856415156,0.28907991085641516,-0.040210261940956116,18.774723052978516,2.0763585723748292,66,0.3990236654993102,171.6060606060606,1053.8053106198233,1.145705896189543,236
aggl_minilm_n6,0.46892663463095163,0.4795337035392395,0.5025474096355039,0.16547899098696697,0.36723547024458303,0.24626363391011846,0.24249177544306483,0.6465032367611164,0.4189748487742757,0.03473475202918053,299.51983642578125,4.5289683952434565,6,0.0,3141.0,2849.77513732809,1.3772104816458328,236
aggl_minilm_n12,0.47164816784545016,0.47380467626849493,0.504568581292185,0.16604903074944513,0.35965059817167117,0.2501704196444595,0.2507693940358697,0.6476175315716863,0.4273585906823729,0.021642684936523438,144.8174285888672,3.993842628351622,12,0.0,1570.5,2494.3653334398846,1.473048198852423,236
aggl_minilm_n20,0.5024668099641885,0.4900016297636966,0.5345817585968287,0.20837508373321686,0.40299310891224144,0.3146375510085965,0.3011779687997453,0.6976546747320387,0.4766528706356787,0.01435921061784029,97.52619934082031,3.7063170735363755,20,0.0,942.3,1777.422012353847,1.7655922986596377,236
spec_minilm_n6,0.4768429379006948,0.5095462521881674,0.4866690322685281,0.17772399691829965,0.395951591397896,0.2164484239170993,0.21956913933991298,0.5969967101772259,0.33948848562029077,0.02568020671606064,312.4207763671875,4.120898747758177,6,0.0,3141.0,2727.427420360317,1.3360837117644704,236
spec_minilm_n12,0.5909334375092349,0.540870951403531,0.5723332016020831,0.2561353275722976,0.4263611665744928,0.2711379825565047,0.38729703915950336,0.6893239944815877,0.4674201422052425,0.019636359065771103,210.6598358154297,3.5104728725001393,12,0.0,1570.5,1930.3953610594904,1.8321826224939906,236
spec_minilm_n20,0.6479809009955213,0.5497842077207198,0.635566282180644,0.34458757866135326,0.3345072466046248,0.37448743306322957,0.5087551735116205,0.7677491244826489,0.6000742863207047,0.017002800479531288,155.87803649902344,3.2733813678565205,20,0.0,942.3,1255.3464103585113,2.2551611854705653,236
kmeans_3small_k6,0.551968019079961,0.5748199917470909,0.5864634439139063,0.2506026159979975,0.5001585613191205,0.3560453755481073,0.29656160458452724,0.6973363047861615,0.4731508012310305,0.03433842957019806,465.40692138671875,4.327535628375783,6,0.0,3141.0,1697.590841948279,1.6436219134131846,693
kmeans_3small_k12,0.6959782132459565,0.5958567032258615,0.6815967465292279,0.49134770705889175,0.3993883740893087,0.5006465450777426,0.5755067388305211,0.8253740846864056,0.6562665817680144,0.04400748014450073,328.7690124511719,4.055061952335476,12,0.0,1570.5,650.3748278236687,2.400892020908039,693
